building_id;load_condition;mean_ec;shape_factor;temperature_correlation
Bear_education_Alfredo;Summer workdays;4.06;0.64;Non-thermal sensitive
Bear_education_Alfredo;Winter workdays;5.4;0.63;Non-thermal sensitive
Bear_education_Alvaro;Summer workdays;10223.94;0.81;Thermal sensitive
Bear_education_Alvaro;Winter workdays;9507.19;0.82;Thermal sensitive
Bear_education_Arnold;Summer workdays;12.34;1.18;Non-thermal sensitive
Bear_education_Arnold;Winter workdays;13.92;1.04;Non-thermal sensitive
Bear_education_Augusta;Summer workdays;3240.24;0.49;Non-thermal sensitive
Bear_education_Augusta;Winter workdays;3315.7;0.48;Non-thermal sensitive
Bear_education_Austin;Summer workdays;585.1;0.32;Non-thermal sensitive
Bear_education_Austin;Winter workdays;624.77;0.34;Thermal sensitive
Bear_education_Babara;Summer workdays;9374.68;0.91;Thermal sensitive
Bear_education_Babara;Winter workdays;8769.35;0.92;Non-thermal sensitive
Bear_education_Benita;Summer workdays;13997.46;0.9;Thermal sensitive
Bear_education_Benita;Winter workdays;12824.54;0.92;Non-thermal sensitive
Bear_education_Benjamin;Summer workdays;25.44;0.87;Non-thermal sensitive
Bear_education_Benjamin;Winter workdays;28.9;0.88;Non-thermal sensitive
Bear_education_Bob;Summer workdays;3475.22;0.57;Non-thermal sensitive
Bear_education_Bob;Winter workdays;3716.62;0.54;Non-thermal sensitive
Bear_education_Bonita;Summer workdays;4.45;0.66;Non-thermal sensitive
Bear_education_Bonita;Winter workdays;5.08;0.68;Non-thermal sensitive
Bear_education_Bulah;Summer workdays;34090.63;0.89;Thermal sensitive
Bear_education_Bulah;Winter workdays;32075.86;0.89;Thermal sensitive
Bear_education_Carlo;Summer workdays;104.54;0.35;Non-thermal sensitive
Bear_education_Carlo;Winter workdays;121.89;0.38;Thermal sensitive
Bear_education_Chad;Summer workdays;27125.7;0.83;Thermal sensitive
Bear_education_Chad;Winter workdays;24712.35;0.85;Thermal sensitive
Bear_education_Chana;Summer workdays;525.35;0.75;Non-thermal sensitive
Bear_education_Chana;Winter workdays;567.93;0.7;Non-thermal sensitive
Bear_education_Chun;Summer workdays;3050.65;0.75;Non-thermal sensitive
Bear_education_Chun;Winter workdays;2264.93;0.68;Non-thermal sensitive
Bear_education_Clint;Summer workdays;1363.71;0.74;Non-thermal sensitive
Bear_education_Clint;Winter workdays;1409.5;0.76;Non-thermal sensitive
Bear_education_Curtis;Summer workdays;1738.55;0.78;Thermal sensitive
Bear_education_Curtis;Winter workdays;1701.82;0.78;Non-thermal sensitive
Bear_education_Danna;Summer workdays;3093.56;0.67;Thermal sensitive
Bear_education_Danna;Winter workdays;3117.76;0.61;Thermal sensitive
Bear_education_Darrell;Summer workdays;1061.09;0.36;Non-thermal sensitive
Bear_education_Darrell;Winter workdays;1074.19;0.35;Non-thermal sensitive
Bear_education_Deena;Summer workdays;222.51;0.66;Non-thermal sensitive
Bear_education_Deena;Winter workdays;223.36;0.62;Non-thermal sensitive
Bear_education_Derek;Summer workdays;4654.71;0.85;Thermal sensitive
Bear_education_Derek;Winter workdays;4551.68;0.86;Thermal sensitive
Bear_education_Destiny;Summer workdays;2980.46;0.51;Non-thermal sensitive
Bear_education_Destiny;Winter workdays;2826.35;0.56;Non-thermal sensitive
Bear_education_Elise;Summer workdays;3488.89;0.59;Non-thermal sensitive
Bear_education_Elise;Winter workdays;3671.81;0.62;Non-thermal sensitive
Bear_education_Fannie;Summer workdays;10754.33;0.89;Thermal sensitive
Bear_education_Fannie;Winter workdays;10184.77;0.93;Non-thermal sensitive
Bear_education_Gavin;Summer workdays;2317.28;0.88;Non-thermal sensitive
Bear_education_Gavin;Winter workdays;2208.75;0.88;Thermal sensitive
Bear_education_Herb;Summer workdays;309.59;0.57;Non-thermal sensitive
Bear_education_Herb;Winter workdays;359.58;0.6;Non-thermal sensitive
Bear_education_Herman;Summer workdays;7.13;0.61;Non-thermal sensitive
Bear_education_Herman;Winter workdays;7.61;0.64;Non-thermal sensitive
Bear_education_Holly;Summer workdays;28.92;0.88;Non-thermal sensitive
Bear_education_Holly;Winter workdays;32.26;0.82;Non-thermal sensitive
Bear_education_Irene;Summer workdays;2063.77;0.99;Non-thermal sensitive
Bear_education_Irene;Winter workdays;2125.25;0.97;Non-thermal sensitive
Bear_education_Iris;Summer workdays;1252.63;0.6;Non-thermal sensitive
Bear_education_Iris;Winter workdays;1418.17;0.56;Non-thermal sensitive
Bear_education_Katy;Summer workdays;3630.41;0.59;Thermal sensitive
Bear_education_Katy;Winter workdays;3072.38;0.63;Thermal sensitive
Bear_education_Lashanda;Summer workdays;2085.06;0.52;Non-thermal sensitive
Bear_education_Lashanda;Winter workdays;2139.73;0.46;Non-thermal sensitive
Bear_education_Laurette;Summer workdays;1229.52;0.9;Non-thermal sensitive
Bear_education_Laurette;Winter workdays;1255.07;0.88;Non-thermal sensitive
Bear_education_Leonel;Summer workdays;3606.98;0.28;Thermal sensitive
Bear_education_Leonel;Winter workdays;3295.48;0.28;Thermal sensitive
Bear_education_Lewis;Summer workdays;620.4;0.53;Non-thermal sensitive
Bear_education_Lewis;Winter workdays;646.48;0.51;Non-thermal sensitive
Bear_education_Lidia;Summer workdays;313.32;0.56;Non-thermal sensitive
Bear_education_Lidia;Winter workdays;345.91;0.51;Non-thermal sensitive
Bear_education_Lila;Summer workdays;5277.99;0.73;Non-thermal sensitive
Bear_education_Lila;Winter workdays;5201.07;0.69;Non-thermal sensitive
Bear_education_Liliana;Summer workdays;11532.94;0.81;Non-thermal sensitive
Bear_education_Liliana;Winter workdays;11549.01;0.82;Thermal sensitive
Bear_education_Lorie;Summer workdays;10190.21;0.82;Thermal sensitive
Bear_education_Lorie;Winter workdays;9798.01;0.82;Thermal sensitive
Bear_education_Mara;Summer workdays;12089.44;0.92;Non-thermal sensitive
Bear_education_Mara;Winter workdays;12190.35;0.91;Non-thermal sensitive
Bear_education_Marie;Summer workdays;639.06;0.47;Non-thermal sensitive
Bear_education_Marie;Winter workdays;695;0.46;Non-thermal sensitive
Bear_education_Marsha;Summer workdays;2246.32;0.68;Non-thermal sensitive
Bear_education_Marsha;Winter workdays;2275.36;0.66;Non-thermal sensitive
Bear_education_Marta;Summer workdays;1088.89;0.42;Non-thermal sensitive
Bear_education_Marta;Winter workdays;1206.57;0.42;Non-thermal sensitive
Bear_education_Maryjane;Summer workdays;8573.4;0.78;Thermal sensitive
Bear_education_Maryjane;Winter workdays;7701.34;0.82;Thermal sensitive
Bear_education_Merrill;Summer workdays;600.06;0.51;Thermal sensitive
Bear_education_Merrill;Winter workdays;540.55;0.63;Non-thermal sensitive
Bear_education_Millie;Summer workdays;76.39;1.07;Non-thermal sensitive
Bear_education_Millie;Winter workdays;88.59;0.97;Non-thermal sensitive
Bear_education_Nanette;Summer workdays;2839.42;0.6;Non-thermal sensitive
Bear_education_Nanette;Winter workdays;2751.98;0.67;Non-thermal sensitive
Bear_education_Oscar;Summer workdays;287.42;0.56;Non-thermal sensitive
Bear_education_Oscar;Winter workdays;281.06;0.62;Non-thermal sensitive
Bear_education_Owen;Summer workdays;3757.57;0.51;Non-thermal sensitive
Bear_education_Owen;Winter workdays;3919.61;0.51;Non-thermal sensitive
Bear_education_Paola;Summer workdays;4407.55;0.55;Non-thermal sensitive
Bear_education_Paola;Winter workdays;4106.61;0.56;Thermal sensitive
Bear_education_Patricia;Summer workdays;15901.41;0.85;Thermal sensitive
Bear_education_Patricia;Winter workdays;15636.52;0.87;Thermal sensitive
Bear_education_Pattie;Summer workdays;4791.31;0.85;Thermal sensitive
Bear_education_Pattie;Winter workdays;4661.81;0.87;Non-thermal sensitive
Bear_education_Rebecca;Summer workdays;17899.18;0.86;Non-thermal sensitive
Bear_education_Rebecca;Winter workdays;18690.63;0.86;Thermal sensitive
Bear_education_Sandy;Summer workdays;172.08;0.84;Non-thermal sensitive
Bear_education_Sandy;Winter workdays;177.94;0.81;Non-thermal sensitive
Bear_education_Sharon;Summer workdays;2696.37;0.82;Non-thermal sensitive
Bear_education_Sharon;Winter workdays;2877.69;0.8;Non-thermal sensitive
Bear_education_Tara;Summer workdays;71.86;0.59;Non-thermal sensitive
Bear_education_Tara;Winter workdays;93.39;0.58;Thermal sensitive
Bear_education_Thuy;Summer workdays;5852.33;0.56;Non-thermal sensitive
Bear_education_Thuy;Winter workdays;6191.46;0.54;Non-thermal sensitive
Bear_education_Val;Summer workdays;9059.97;0.84;Thermal sensitive
Bear_education_Val;Winter workdays;9287.76;0.81;Non-thermal sensitive
Bear_education_Wilton;Summer workdays;39146.9;0.87;Thermal sensitive
Bear_education_Wilton;Winter workdays;38576.25;0.88;Non-thermal sensitive
Bear_education_Wm;Summer workdays;1262.99;0.7;Non-thermal sensitive
Bear_education_Wm;Winter workdays;1347.2;0.66;Non-thermal sensitive
Bear_education_Yuri;Summer workdays;494.46;0.29;Non-thermal sensitive
Bear_education_Yuri;Winter workdays;555.03;0.29;Non-thermal sensitive
Bear_education_Yvette;Summer workdays;289.21;0.57;Non-thermal sensitive
Bear_education_Yvette;Winter workdays;324;0.52;Thermal sensitive
