building_id;load_condition;mean_ec;shape_factor;temperature_correlation
Bull_office_Anne;Summer workdays;505.08;0.88;Non-thermal sensitive
Bull_office_Anne;Winter workdays;514.52;0.87;Non-thermal sensitive
Bull_office_Chantel;Summer workdays;3944.69;0.84;Non-thermal sensitive
Bull_office_Chantel;Winter workdays;3863.82;0.85;Non-thermal sensitive
Bull_office_Claudia;Summer workdays;811.03;1;Non-thermal sensitive
Bull_office_Claudia;Winter workdays;834.35;1;Non-thermal sensitive
Bull_office_Debbie;Summer workdays;764.07;0.57;Non-thermal sensitive
Bull_office_Debbie;Winter workdays;825.63;0.52;Non-thermal sensitive
Bull_office_Efren;Summer workdays;1378.09;0.5;Non-thermal sensitive
Bull_office_Efren;Winter workdays;1333.43;0.54;Non-thermal sensitive
Bull_office_Ella;Summer workdays;1775.48;1.02;Thermal sensitive
Bull_office_Ella;Winter workdays;1673.68;1.03;Non-thermal sensitive
Bull_office_Hilton;Summer workdays;159.28;0.84;Non-thermal sensitive
Bull_office_Hilton;Winter workdays;163.05;0.82;Non-thermal sensitive
Bull_office_Ivette;Summer workdays;663.95;0.77;Non-thermal sensitive
Bull_office_Ivette;Winter workdays;592.94;0.77;Thermal sensitive
Bull_office_Lilla;Summer workdays;11205.61;0.74;Non-thermal sensitive
Bull_office_Lilla;Winter workdays;11756.52;0.78;Thermal sensitive
Bull_office_Marco;Summer workdays;1590.42;0.7;Thermal sensitive
Bull_office_Marco;Winter workdays;1139.46;0.7;Thermal sensitive
Bull_office_Myron;Summer workdays;1663.53;0.65;Non-thermal sensitive
Bull_office_Myron;Winter workdays;1633.08;0.65;Non-thermal sensitive
Bull_office_Nicolas;Summer workdays;446.18;1.28;Non-thermal sensitive
Bull_office_Nicolas;Winter workdays;514.26;1.22;Non-thermal sensitive
Bull_office_Rob;Summer workdays;7197.26;0.65;Thermal sensitive
Bull_office_Rob;Winter workdays;7068.49;0.65;Non-thermal sensitive
Bull_office_Sally;Summer workdays;2268.84;0.63;Non-thermal sensitive
Bull_office_Sally;Winter workdays;2237.47;0.62;Non-thermal sensitive
Bull_office_Trevor;Summer workdays;1347.74;0.73;Non-thermal sensitive
Bull_office_Trevor;Winter workdays;1327.26;0.69;Non-thermal sensitive
Bull_office_Yvonne;Summer workdays;4171.87;0.62;Thermal sensitive
Bull_office_Yvonne;Winter workdays;4332.94;0.61;Non-thermal sensitive
Cockatoo_office_Ada;Summer workdays;3028.68;0.68;Non-thermal sensitive
Cockatoo_office_Ada;Winter workdays;3297.05;0.77;Thermal sensitive
Cockatoo_office_Alton;Summer workdays;2485.3;0.72;Non-thermal sensitive
Cockatoo_office_Alton;Winter workdays;2608.44;0.71;Non-thermal sensitive
Cockatoo_office_Christy;Summer workdays;5038.79;0.75;Non-thermal sensitive
Cockatoo_office_Christy;Winter workdays;4887.13;0.74;Non-thermal sensitive
Cockatoo_office_Delores;Summer workdays;1791.87;0.74;Non-thermal sensitive
Cockatoo_office_Delores;Winter workdays;1944.4;0.71;Non-thermal sensitive
Cockatoo_office_Elbert;Summer workdays;707.59;0.71;Non-thermal sensitive
Cockatoo_office_Elbert;Winter workdays;743.86;0.75;Non-thermal sensitive
Cockatoo_office_Gail;Summer workdays;505.86;0.61;Non-thermal sensitive
Cockatoo_office_Gail;Winter workdays;567.39;0.68;Thermal sensitive
Cockatoo_office_Georgia;Summer workdays;5625.96;0.8;Non-thermal sensitive
Cockatoo_office_Georgia;Winter workdays;6249.44;0.79;Non-thermal sensitive
Cockatoo_office_Giovanni;Summer workdays;3289.21;0.75;Non-thermal sensitive
Cockatoo_office_Giovanni;Winter workdays;3013.45;0.79;Non-thermal sensitive
Cockatoo_office_Jimmy;Summer workdays;358.32;0.55;Thermal sensitive
Cockatoo_office_Jimmy;Winter workdays;307.18;0.64;Non-thermal sensitive
Cockatoo_office_Jodie;Summer workdays;1203.6;0.82;Non-thermal sensitive
Cockatoo_office_Jodie;Winter workdays;1470.32;0.82;Thermal sensitive
Cockatoo_office_Kristin;Summer workdays;2730.41;0.86;Non-thermal sensitive
Cockatoo_office_Kristin;Winter workdays;2924;0.86;Non-thermal sensitive
Cockatoo_office_Laila;Summer workdays;5384.24;0.8;Non-thermal sensitive
Cockatoo_office_Laila;Winter workdays;5462.99;0.83;Non-thermal sensitive
Cockatoo_office_Lorraine;Summer workdays;136.89;1.31;Non-thermal sensitive
Cockatoo_office_Lorraine;Winter workdays;161.3;1.24;Non-thermal sensitive
Cockatoo_office_Margaret;Summer workdays;10471.89;0.87;Non-thermal sensitive
Cockatoo_office_Margaret;Winter workdays;10489.71;0.86;Non-thermal sensitive
Cockatoo_office_Paige;Summer workdays;2593;0.69;Non-thermal sensitive
Cockatoo_office_Paige;Winter workdays;2771.89;0.7;Non-thermal sensitive
Cockatoo_office_Pansy;Summer workdays;1468.04;0.59;Non-thermal sensitive
Cockatoo_office_Pansy;Winter workdays;1470.23;0.57;Non-thermal sensitive
Cockatoo_office_Rodney;Summer workdays;3205.02;0.62;Non-thermal sensitive
Cockatoo_office_Rodney;Winter workdays;3535.57;0.66;Non-thermal sensitive
Cockatoo_office_Roxanna;Summer workdays;175.66;0.78;Non-thermal sensitive
Cockatoo_office_Roxanna;Winter workdays;203.72;0.78;Thermal sensitive
Fox_office_Alice;Summer workdays;9142.66;0.85;Non-thermal sensitive
Fox_office_Alice;Winter workdays;8800.17;0.84;Non-thermal sensitive
Fox_office_Bernard;Summer workdays;3106.87;0.87;Non-thermal sensitive
Fox_office_Bernard;Winter workdays;3127.45;0.87;Non-thermal sensitive
Fox_office_Berniece;Summer workdays;722.66;0.96;Non-thermal sensitive
Fox_office_Berniece;Winter workdays;935.72;0.93;Thermal sensitive
Fox_office_Brandy;Summer workdays;1128.36;0.38;Thermal sensitive
Fox_office_Brandy;Winter workdays;731.16;0.44;Thermal sensitive
Fox_office_Carson;Summer workdays;1208.35;0.61;Non-thermal sensitive
Fox_office_Carson;Winter workdays;1333.85;0.65;Non-thermal sensitive
Fox_office_Clayton;Summer workdays;2529.27;0.55;Thermal sensitive
Fox_office_Clayton;Winter workdays;1908.07;0.56;Non-thermal sensitive
Fox_office_Demetrius;Summer workdays;2785.65;0.86;Non-thermal sensitive
Fox_office_Demetrius;Winter workdays;3478.82;0.93;Thermal sensitive
Fox_office_Easter;Summer workdays;659.26;0.59;Non-thermal sensitive
Fox_office_Easter;Winter workdays;668.49;0.56;Thermal sensitive
Fox_office_Edythe;Summer workdays;2830.28;0.75;Non-thermal sensitive
Fox_office_Edythe;Winter workdays;2880.72;0.77;Non-thermal sensitive
Fox_office_Essie;Summer workdays;506.04;0.16;Non-thermal sensitive
Fox_office_Essie;Winter workdays;428.08;0.21;Non-thermal sensitive
Fox_office_Gaylord;Summer workdays;5107.58;0.46;Thermal sensitive
Fox_office_Gaylord;Winter workdays;3677.54;0.51;Thermal sensitive
Fox_office_Israel;Summer workdays;2929.17;0.66;Non-thermal sensitive
Fox_office_Israel;Winter workdays;3163.63;0.73;Non-thermal sensitive
Fox_office_Joy;Summer workdays;4852.15;0.74;Non-thermal sensitive
Fox_office_Joy;Winter workdays;3896.1;0.75;Non-thermal sensitive
Fox_office_Juana;Summer workdays;475.47;0.55;Non-thermal sensitive
Fox_office_Juana;Winter workdays;545.56;0.52;Thermal sensitive
Fox_office_Karima;Summer workdays;2031.92;0.47;Non-thermal sensitive
Fox_office_Karima;Winter workdays;1766.62;0.5;Non-thermal sensitive
Fox_office_Margarita;Summer workdays;547.82;0.78;Non-thermal sensitive
Fox_office_Margarita;Winter workdays;397.17;0.69;Thermal sensitive
Fox_office_Molly;Summer workdays;247.58;0.44;Thermal sensitive
Fox_office_Molly;Winter workdays;126.37;0.98;Thermal sensitive
Fox_office_Rowena;Summer workdays;1048.29;0.65;Thermal sensitive
Fox_office_Rowena;Winter workdays;866.99;0.64;Thermal sensitive
Fox_office_Sheila;Summer workdays;311.07;0.66;Thermal sensitive
Fox_office_Sheila;Winter workdays;184.73;0.75;Non-thermal sensitive
Fox_office_Susanne;Summer workdays;569.03;0.54;Thermal sensitive
Fox_office_Susanne;Winter workdays;374.8;0.84;Non-thermal sensitive
Fox_office_Thelma;Summer workdays;3323;0.53;Non-thermal sensitive
Fox_office_Thelma;Winter workdays;3367.24;0.58;Non-thermal sensitive
Fox_office_Vicki;Summer workdays;4142.34;0.74;Thermal sensitive
Fox_office_Vicki;Winter workdays;3389.38;0.71;Thermal sensitive
Fox_office_Yong;Summer workdays;3081.37;0.68;Non-thermal sensitive
Fox_office_Yong;Winter workdays;3523.91;0.78;Thermal sensitive
Fox_office_Zachary;Summer workdays;3553.15;0.76;Non-thermal sensitive
Fox_office_Zachary;Winter workdays;4944.28;0.9;Thermal sensitive
Hog_office_Alexis;Summer workdays;596.76;0.37;Thermal sensitive
Hog_office_Alexis;Winter workdays;510.07;0.56;Non-thermal sensitive
Hog_office_Alisha;Summer workdays;312.59;0.92;Thermal sensitive
Hog_office_Alisha;Winter workdays;268.17;0.94;Non-thermal sensitive
Hog_office_Almeda;Summer workdays;1539.92;0.64;Non-thermal sensitive
Hog_office_Almeda;Winter workdays;1710.3;0.63;Non-thermal sensitive
Hog_office_Bessie;Summer workdays;2111.32;0.55;Non-thermal sensitive
Hog_office_Bessie;Winter workdays;2000.67;0.56;Non-thermal sensitive
Hog_office_Betsy;Summer workdays;23367.54;0.71;Thermal sensitive
Hog_office_Betsy;Winter workdays;8491.58;0.76;Non-thermal sensitive
Hog_office_Bill;Summer workdays;8421.03;0.76;Thermal sensitive
Hog_office_Bill;Winter workdays;5719.81;0.68;Non-thermal sensitive
Hog_office_Buford;Summer workdays;32.56;1.05;Non-thermal sensitive
Hog_office_Buford;Winter workdays;40.9;1;Non-thermal sensitive
Hog_office_Byron;Summer workdays;24302.79;0.71;Non-thermal sensitive
Hog_office_Byron;Winter workdays;24135.91;0.72;Non-thermal sensitive
Hog_office_Candi;Summer workdays;7521.09;0.7;Non-thermal sensitive
Hog_office_Candi;Winter workdays;7889.83;0.69;Non-thermal sensitive
Hog_office_Carri;Summer workdays;1000.08;0.64;Thermal sensitive
Hog_office_Carri;Winter workdays;787.36;0.63;Non-thermal sensitive
Hog_office_Catalina;Summer workdays;1010.15;0.54;Non-thermal sensitive
Hog_office_Catalina;Winter workdays;1680.87;0.65;Non-thermal sensitive
Hog_office_Catharine;Summer workdays;11152.43;0.8;Non-thermal sensitive
Hog_office_Catharine;Winter workdays;9978.46;0.81;Non-thermal sensitive
Hog_office_Charla;Summer workdays;4544.76;0.83;Non-thermal sensitive
Hog_office_Charla;Winter workdays;4706.71;0.81;Non-thermal sensitive
Hog_office_Clemencia;Summer workdays;1860.45;0.78;Non-thermal sensitive
Hog_office_Clemencia;Winter workdays;2037.23;0.77;Non-thermal sensitive
Hog_office_Concetta;Summer workdays;545.94;0.32;Thermal sensitive
Hog_office_Concetta;Winter workdays;355.44;0.4;Non-thermal sensitive
Hog_office_Cordelia;Summer workdays;753.58;0.37;Thermal sensitive
Hog_office_Cordelia;Winter workdays;622.84;0.39;Non-thermal sensitive
Hog_office_Corey;Summer workdays;3122.07;0.71;Non-thermal sensitive
Hog_office_Corey;Winter workdays;3415.46;0.71;Non-thermal sensitive
Hog_office_Corie;Summer workdays;2198.73;0.58;Non-thermal sensitive
Hog_office_Corie;Winter workdays;2442.02;0.55;Non-thermal sensitive
Hog_office_Cornell;Summer workdays;42433.8;0.72;Thermal sensitive
Hog_office_Cornell;Winter workdays;30673.75;0.7;Non-thermal sensitive
Hog_office_Darline;Summer workdays;5017.59;0.98;Non-thermal sensitive
Hog_office_Darline;Winter workdays;4673.82;0.98;Non-thermal sensitive
Hog_office_Denita;Summer workdays;1534.46;0.44;Thermal sensitive
Hog_office_Denita;Winter workdays;1633.05;0.41;Non-thermal sensitive
Hog_office_Elizbeth;Summer workdays;3502.76;0.77;Non-thermal sensitive
Hog_office_Elizbeth;Winter workdays;3377.8;0.77;Non-thermal sensitive
Hog_office_Elke;Summer workdays;1734.68;0.48;Non-thermal sensitive
Hog_office_Elke;Winter workdays;1767.35;0.49;Non-thermal sensitive
Hog_office_Elnora;Summer workdays;18854.72;0.95;Thermal sensitive
Hog_office_Elnora;Winter workdays;14824.18;0.95;Non-thermal sensitive
Hog_office_Eloise;Summer workdays;8268.65;0.76;Non-thermal sensitive
Hog_office_Eloise;Winter workdays;8128.73;0.78;Non-thermal sensitive
Hog_office_Elsy;Summer workdays;695.27;0.68;Non-thermal sensitive
Hog_office_Elsy;Winter workdays;687.82;0.75;Non-thermal sensitive
Hog_office_Emmanuel;Summer workdays;657.25;0.64;Non-thermal sensitive
Hog_office_Emmanuel;Winter workdays;701.61;0.65;Non-thermal sensitive
Hog_office_Garrett;Summer workdays;10349.63;0.57;Non-thermal sensitive
Hog_office_Garrett;Winter workdays;9670.87;0.56;Non-thermal sensitive
Hog_office_Guadalupe;Summer workdays;1121.48;0.53;Non-thermal sensitive
Hog_office_Guadalupe;Winter workdays;1371.32;0.52;Non-thermal sensitive
Hog_office_Gustavo;Summer workdays;18753.24;0.67;Non-thermal sensitive
Hog_office_Gustavo;Winter workdays;19676.64;0.71;Non-thermal sensitive
Hog_office_Joey;Summer workdays;30552.94;0.78;Non-thermal sensitive
