building_id,site_id,building_id_kaggle,site_id_kaggle,primaryspaceusage,sub_primaryspaceusage,sqm,sqft,lat,lng,timezone,electricity,hotwater,chilledwater,steam,water,irrigation,solar,gas,industry,subindustry,heatingtype,yearbuilt,date_opened,numberoffloors,occupants,energystarscore,eui,site_eui,source_eui,leed_level,rating,state,country
Panther_education_Rosalie,Panther,0,0,Education,Research,690.5,7432,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,,,,,2008.0,,,,,276.0,,,None,,Florida,United States
Panther_education_Misty,Panther,1,0,Education,Research,252.7,2720,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,,,,,2004.0,,,,,375.0,,,None,,Florida,United States
Panther_education_Mattie,Panther,2,0,Education,Classroom,499.4,5376,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,,,,,1991.0,,,,,49.0,,,None,,Florida,United States
Panther_education_Diann,Panther,3,0,Education,Classroom,2200.4,23685,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,,,,,2002.0,,,,,145.0,,,None,,Florida,United States
Panther_education_Gina,Panther,4,0,Education,Research,10833.1,116607,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,Yes,,,,1975.0,,,,,546.0,,,None,,Florida,United States
Panther_education_Tina,Panther,5,0,Education,Research,743.2,8000,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,,,,,2000.0,,,,,41.0,,,None,,Florida,United States
Panther_education_Vincent,Panther,7,0,Education,Classroom,11248.1,121074,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,Yes,,Yes,,,,,,,1989.0,,,,,128.0,,,None,,Florida,United States
Panther_education_Shelton,Panther,8,0,Education,Classroom,5649.3,60809,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,,,,,,,,2003.0,,,,,133.0,,,None,,Florida,United States
Panther_office_Karla,Panther,9,0,Office,Office,2508.4,27000,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,Yes,,Yes,,,,,,,2010.0,,,,,120.0,,,Gold,,Florida,United States
Panther_education_Sophia,Panther,11,0,Education,Research,4559.0,49073,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,Yes,,,,1968.0,,,,,466.0,,,None,,Florida,United States
Panther_education_Annetta,Panther,13,0,Education,Classroom,9232.7,99380,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,Yes,,Yes,,,,,,,2000.0,,,,,95.0,,,None,,Florida,United States
Panther_education_Aurora,Panther,14,0,Education,Classroom,8012.9,86250,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,Yes,,Yes,Yes,,,,,,2013.0,,,,,136.0,,,Gold,,Florida,United States
Panther_office_Graham,Panther,15,0,Office,Office,7799.9,83957,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,Yes,,Yes,,,Yes,,,,1974.0,,,,,104.0,,,None,,Florida,United States
Panther_education_Karri,Panther,16,0,Education,Classroom,5076.6,54644,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,,Yes,,,,,,1996.0,,,,,436.0,,,None,,Florida,United States
