"load_condition","cluster","n_profiles","n_buildings","frequency","sizing"
"Summer weekends","Shape 1",0.9,28.4,"Infrequent load shape",25.56
"Summer weekends","Shape 10",0.2,8.4,"Infrequent load shape",1.68
"Summer weekends","Shape 2",0.5,24.4,"Infrequent load shape",12.2
"Summer weekends","Shape 3",0.4,12.4,"Infrequent load shape",4.96
"Summer weekends","Shape 4",1.7,53.2,"Frequent load shape",90.44
"Summer weekends","Shape 5",0.6,23.6,"Infrequent load shape",14.16
"Summer weekends","Shape 6",5.7,74,"Frequent load shape",421.8
"Summer weekends","Shape 7",1.5,49.6,"Infrequent load shape",74.4
"Summer weekends","Shape 8",0.2,9.2,"Infrequent load shape",1.84
"Summer weekends","Shape 9",2.9,69.6,"Frequent load shape",201.84
"Summer workdays","Shape 1",5.2,58,"Frequent load shape",301.6
"Summer workdays","Shape 10",0.6,14.4,"Infrequent load shape",8.64
"Summer workdays","Shape 2",0.6,16,"Infrequent load shape",9.6
"Summer workdays","Shape 3",4.2,35.2,"Infrequent load shape",147.84
"Summer workdays","Shape 4",7.9,74,"Frequent load shape",584.6
"Summer workdays","Shape 5",4.3,53.2,"Frequent load shape",228.76
"Summer workdays","Shape 6",3.9,36,"Infrequent load shape",140.4
"Summer workdays","Shape 7",1.2,27.2,"Infrequent load shape",32.64
"Summer workdays","Shape 8",0.6,9.6,"Infrequent load shape",5.76
"Summer workdays","Shape 9",8.1,65.6,"Frequent load shape",531.36
"Winter weekends","Shape 1",0.7,27.2,"Infrequent load shape",19.04
"Winter weekends","Shape 10",0.2,11.2,"Infrequent load shape",2.24
"Winter weekends","Shape 2",0.5,24.4,"Infrequent load shape",12.2
"Winter weekends","Shape 3",0.4,15.2,"Infrequent load shape",6.08
"Winter weekends","Shape 4",1.5,51.6,"Frequent load shape",77.4
"Winter weekends","Shape 5",0.5,21.2,"Infrequent load shape",10.6
"Winter weekends","Shape 6",6.3,81.6,"Frequent load shape",514.08
"Winter weekends","Shape 7",1.8,54.4,"Frequent load shape",97.92
"Winter weekends","Shape 8",0.2,8.4,"Infrequent load shape",1.68
"Winter weekends","Shape 9",2.1,65.2,"Frequent load shape",136.92
"Winter workdays","Shape 1",4.9,62.4,"Frequent load shape",305.76
"Winter workdays","Shape 10",0.9,16,"Infrequent load shape",14.4
"Winter workdays","Shape 2",0.7,18.8,"Infrequent load shape",13.16
"Winter workdays","Shape 3",3.8,37.6,"Infrequent load shape",142.88
"Winter workdays","Shape 4",7,70.4,"Frequent load shape",492.8
"Winter workdays","Shape 5",4.4,55.2,"Frequent load shape",242.88
"Winter workdays","Shape 6",3.6,42,"Infrequent load shape",151.2
"Winter workdays","Shape 7",1.6,33.6,"Infrequent load shape",53.76
"Winter workdays","Shape 8",0.6,10.8,"Infrequent load shape",6.48
"Winter workdays","Shape 9",7.2,64.4,"Frequent load shape",463.68
